article_id,year,author
0,2018,Maria Kozhevnikov
0,2018,Yahui Li
0,2018,Sabrina Wong
0,2018,Takashi Obana
0,2018,Ido Amihai
1,2018,O Rosa-Salva
1,2018,M Hernik
1,2018,A Broseghini
1,2018,G Vallortigara
2,2018,Athena Vouloumanos
3,2018,Yuqi Liu
3,2018,Jared Medina
4,2018,Nese Oktay-Gür
4,2018,Alexandra Schulz
4,2018,Hannes Rakoczy
5,2018,Emmanuel Dupoux
6,2018,C Daryl Cameron
6,2018,B Keith Payne
6,2018,Walter Sinnott-Armstrong
6,2018,Julian A Scheffer
6,2018,Michael Inzlicht
7,2017,Samuel J Gershman
8,2017,Leyre Castro
8,2017,Edward A Wasserman
8,2017,Marisol Lauffer
9,2017,Daniel Yon
9,2017,Clare Press
10,2017,Angela Cooper
10,2017,Natalie Fecher
10,2017,Elizabeth K Johnson
11,2017,Sayuri Hayakawa
11,2017,Boaz Keysar
12,2017,Eckart Zimmermann
13,2017,Sophia Uddin
13,2017,Shannon L M Heald
13,2017,Stephen C Van Hedger
13,2017,Serena Klos
13,2017,Howard C Nusbaum
14,2017,Lisa J Stephenson
14,2017,S Gareth Edwards
14,2017,Emma E Howard
14,2017,Andrew P Bayliss
15,2017,Leonidas Spiliopoulos
16,2017,Dasha A Sandra
16,2017,A Ross Otto
17,2017,Apoorva Bhandari
17,2017,David Badre
18,2017,Alissa Melinger
19,2017,Ardi Roelofs
20,2017,Robin S S Kramer
20,2017,Andrew W Young
20,2017,A Mike Burton
21,2017,Rebecca M Foerster
21,2017,Werner X Schneider
22,2017,Calum Hartley
22,2017,Sophie Fisher
23,2017,Stian Reimers
23,2017,Chris Donkin
23,2017,Mike E Le Pelley
24,2017,Laura E de Ruiter
24,2017,Anna L Theakston
24,2017,Silke Brandt
24,2017,Elena V M Lieven
25,2017,Cornelius Maurer
25,2017,Valerian Chambon
25,2017,Sacha Bourgeois-Gironde
25,2017,Marion Leboyer
25,2017,Tiziana Zalla
26,2017,Gareth Roberts
26,2017,Maryia Fedzechkina
27,2017,Brendan Gaesser
27,2017,Kerri Keeler
27,2017,Liane Young
28,2017,Tally McCormick Miller
28,2017,Timo Torsten Schmidt
28,2017,Felix Blankenburg
28,2017,Friedemann Pulvermüller
29,2017,Alexandra S Dylman
29,2017,Christopher Barry
30,2017,Okko Räsänen
30,2017,Gabriel Doyle
30,2017,Michael C Frank
31,2017,Michael Huemer
31,2017,Josef Perner
31,2017,Brian Leahy
32,2017,Dror Dotan
32,2017,Florent Meyniel
32,2017,Stanislas Dehaene
33,2017,Jincai Li
33,2017,Longgen Liu
33,2017,Elizabeth Chalmers
33,2017,Jesse Snedeker
34,2017,Toben H Mintz
34,2017,Rachel L Walker
34,2017,Ashlee Welday
34,2017,Celeste Kidd
35,2017,Qi-Yang Nie
35,2017,Xiaowei Ding
35,2017,Jianyong Chen
35,2017,Markus Conci
36,2017,Guy Ben-Yosef
36,2017,Liav Assif
36,2017,Shimon Ullman
37,2017,Marcello Costantini
37,2017,Daniele Migliorati
37,2017,Brunella Donno
37,2017,Miroslav Sirota
37,2017,Francesca Ferri
38,2017,Zoe Liberman
38,2017,Katherine D Kinzler
38,2017,Amanda L Woodward
39,2017,Alejandrina Cristia
40,2017,Joakim Sundh
40,2017,Peter Juslin
41,2017,Ángel Eugenio Tovar
41,2017,Gert Westermann
41,2017,Alvaro Torres
42,2017,Caroline Catmur
