article_id,year,author
0,2018,Lang Chen
0,2018,Se Ri Bae
0,2018,Christian Battista
0,2018,Shaozheng Qin
0,2018,Tianwen Chen
0,2018,Tanya M Evans
0,2018,Vinod Menon
1,2018,Barbara L Fredrickson
1,2018,Bethany E Kok
2,2018,Tom Stafford
3,2018,Carol A Nickerson
4,2018,Jessica E Salvatore
4,2018,Sara Larsson Lönn
4,2018,Jan Sundquist
4,2018,Kristina Sundquist
4,2018,Kenneth S Kendler
5,2018,Sietske van Viersen
5,2018,Elise H de Bree
5,2018,Marjolein Zee
5,2018,Ben Maassen
5,2018,Aryan van der Leij
5,2018,Peter F de Jong
6,2018,Zhimin Chen
6,2018,Anna Kosovicheva
6,2018,Benjamin Wolfe
6,2018,Patrick Cavanagh
6,2018,Andrei Gorea
6,2018,David Whitney
7,2018,Kimberley A Wade
7,2018,Maryanne Garry
7,2018,Kathy Pezdek
9,2018,Eric M Russell
9,2018,William Ickes
9,2018,Vivian P Ta
10,2018,Matthew D Hilchey
10,2018,Jason Rajsic
10,2018,Greg Huffman
10,2018,Raymond M Klein
10,2018,Jay Pratt
12,2017,Jordan Tong
12,2017,Daniel Feiler
12,2017,Anastasia Ivantsova
13,2017,Natalie Biderman
13,2017,Liad Mudrik
14,2017,Oakyoon Cha
14,2017,Sang Chul Chong
15,2017,Sara Kim
15,2017,Ke Zhang
15,2017,Daeun Park
16,2017,Ayelet McKyton
16,2017,Itay Ben-Zion
16,2017,Ehud Zohary
18,2017,R T Pramod
18,2017,S P Arun
20,2017,Michael A Gomez
20,2017,Rafal M Skiba
20,2017,Jacqueline C Snow
21,2017,Maryia Fedzechkina
21,2017,Becky Chu
21,2017,T Florian Jaeger
22,2017,David C Geary
22,2017,Kristy vanMarle
22,2017,Felicia W Chu
22,2017,Jeffrey Rouder
22,2017,Mary K Hoard
22,2017,Lara Nugent
23,2017,Yanping Liu
23,2017,Erik D Reichle
24,2017,Joshua M Ackerman
24,2017,Joshua M Tybur
24,2017,Chad R Mortensen
25,2017,Bruce D Bartholow
25,2017,Chris Loersch
25,2017,Tiffany A Ito
25,2017,Meredith P Levsen
25,2017,Hannah I Volpert-Esmond
25,2017,Kimberly A Fleming
25,2017,Paul Bolls
25,2017,Brooke K Carter
26,2017,Min Bao
26,2017,Bo Dong
26,2017,Lijuan Liu
26,2017,Stephen A Engel
26,2017,Yi Jiang
27,2017,Jaap J A Denissen
27,2017,Wiebke Bleidorn
27,2017,Marie Hennecke
